Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5270684371807968,0.6798611111111111,0.06141323713860573,0.4756944444444444,0.20416666666666666,0.564963503649635,0.4387755102040816,0.47885572139303484,0.20443740095087162,0.4583333333333333,1.0,-0.1527852421862252,1.0,0.0,0.4583333333333333,0,1.0,0.0,0.5277777777777778,1.0,0.13290033395542614,1.0,0.0,0.5277777777777778,0,1.0,0.0
1,0.5491379310344827,0.8055555555555556,1.0708634400836199,0.65,0.15555555555555556,0.5715811965811965,0.45535714285714285,0.6616915422885572,0.1600633914421553,0.5416666666666666,1.0,0.1527852421862252,0.0,1.0,0,0.5416666666666666,0.0,1.0,0.4722222222222222,1.0,-0.13290033395542614,0.0,1.0,0,0.4722222222222222,0.0,1.0
2,0.5272232304900182,0.7652777777777777,0.09635193115098444,0.5284722222222222,0.23680555555555555,0.5676741130091985,0.436950146627566,0.5335820895522388,0.2329635499207607,0.4583333333333333,1.0,-0.1527852421862252,1.0,0.0,0.4583333333333333,0,1.0,0.0,0.5277777777777778,1.0,0.13290033395542614,1.0,0.0,0.5277777777777778,0,1.0,0.0
3,0.5523091423185674,0.7368055555555556,0.7093642691188493,0.5951388888888889,0.14166666666666666,0.5705950991831972,0.47549019607843135,0.6057213930348259,0.1537242472266244,0.4583333333333333,1.0,-0.1527852421862252,1.0,0.0,0.4583333333333333,0,1.0,0.0,0.5277777777777778,1.0,0.13290033395542614,1.0,0.0,0.5277777777777778,0,1.0,0.0
4,0.5063405797101449,0.7666666666666667,0.26121160177133407,0.5625,0.20416666666666666,0.5419753086419753,0.40816326530612246,0.5460199004975125,0.18700475435816163,0.4583333333333333,1.0,-0.1527852421862252,1.0,0.0,0.4583333333333333,0,1.0,0.0,0.5277777777777778,1.0,0.13290033395542614,1.0,0.0,0.5277777777777778,0,1.0,0.0
5,0.536150234741784,0.7395833333333334,0.6879773852681753,0.5694444444444444,0.1701388888888889,0.5707317073170731,0.4204081632653061,0.5796019900497512,0.16323296354992076,0.45454545454545453,0.9930555555555556,-0.15562688517253365,0.9930555555555556,0.0,0.45454545454545453,0,0.9848484848484849,0.0,0.5255474452554745,0.9513888888888888,0.10845310726259887,0.9513888888888888,0.0,0.5255474452554745,0,0.9473684210526315,0.0
6,0.5337837837837838,0.7194444444444444,0.5673135487900232,0.55,0.16944444444444445,0.5694444444444444,0.4180327868852459,0.5584577114427861,0.1600633914421553,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
7,0.5504782146652497,0.6534722222222222,1.3910354117573616,0.4840277777777778,0.16944444444444445,0.5810616929698709,0.46311475409836067,0.5,0.179080824088748,0.4583333333333333,1.0,-0.1527852421862252,1.0,0.0,0.4583333333333333,0,1.0,0.0,0.5211267605633803,0.9861111111111112,0.12332253637030824,0.9861111111111112,0.0,0.5211267605633803,0,0.9736842105263158,0.0
8,0.5472197705207414,0.7868055555555555,1.7980112138772635,0.5381944444444444,0.24861111111111112,0.5690322580645162,0.5,0.5472636815920398,0.2836767036450079,0.5069444444444444,1.0,0.03591077824315647,0.2152777777777778,0.7847222222222222,0.41935483870967744,0.5309734513274337,0.19696969696969696,0.7692307692307693,0.4930555555555556,1.0,-0.05189473548893329,0.3125,0.6875,0.5333333333333333,0.47474747474747475,0.3157894736842105,0.6911764705882353
9,0.538961038961039,0.8555555555555555,1.6063486744593383,0.4479166666666667,0.4076388888888889,0.5922480620155038,0.4804088586030664,0.472636815920398,0.4437400950871632,0.4583333333333333,0.8333333333333334,-0.21924736059784655,0.4930555555555556,0.3402777777777778,0.43661971830985913,0.4897959183673469,0.4696969696969697,0.3076923076923077,0.5982905982905983,0.8125,0.12485883642442909,0.5277777777777778,0.2847222222222222,0.5789473684210527,0.6341463414634146,0.5789473684210527,0.38235294117647056
10,0.5633116883116883,0.8555555555555555,2.6811787198580954,0.4888888888888889,0.36666666666666664,0.6178977272727273,0.49053030303030304,0.5410447761194029,0.4041204437400951,0.4513888888888889,1.0,-0.2742540314889271,0.5625,0.4375,0.41975308641975306,0.49206349206349204,0.5151515151515151,0.3974358974358974,0.5694444444444444,1.0,0.06339242945392146,0.6388888888888888,0.3611111111111111,0.5760869565217391,0.5576923076923077,0.6973684210526315,0.4264705882352941
11,0.5715467328370554,0.8395833333333333,2.6167454462098045,0.4777777777777778,0.36180555555555555,0.6162790697674418,0.5124760076775432,0.5236318407960199,0.41996830427892234,0.4351145038167939,0.9097222222222222,-0.1947642328910264,0.9097222222222222,0.0,0.4351145038167939,0,0.8636363636363636,0.0,0.5112781954887218,0.9236111111111112,0.09431841061685774,0.9027777777777778,0.020833333333333332,0.5230769230769231,0.0,0.8947368421052632,0.0
12,0.5868113522537562,0.8319444444444445,3.317077128287809,0.5034722222222222,0.3284722222222222,0.6262068965517241,0.5264270613107822,0.5634328358208955,0.3898573692551506,0.448,0.8680555555555556,-0.23956343050720713,0.6319444444444444,0.2361111111111111,0.42857142857142855,0.5,0.5909090909090909,0.21794871794871795,0.5597014925373134,0.9305555555555556,0.08430728505593156,0.7222222222222222,0.20833333333333334,0.5673076923076923,0.5333333333333333,0.7763157894736842,0.23529411764705882
13,0.5701754385964912,0.8708333333333333,2.881659278041638,0.4861111111111111,0.38472222222222224,0.62,0.5072202166064982,0.5360696517412935,0.4437400950871632,0.4380165289256198,0.8402777777777778,-0.19522560981352965,0.7638888888888888,0.0763888888888889,0.44545454545454544,0.36363636363636365,0.7424242424242424,0.05128205128205128,0.5426356589147286,0.8958333333333334,0.1113745794923971,0.8055555555555556,0.09027777777777778,0.5431034482758621,0.5384615384615384,0.8289473684210527,0.10294117647058823
14,0.562655601659751,0.8368055555555556,2.4504130376616944,0.48819444444444443,0.3486111111111111,0.6073968705547653,0.5,0.5286069651741293,0.39619651347068147,0.4411764705882353,0.4722222222222222,-0.07561505202733532,0.3541666666666667,0.11805555555555555,0.45098039215686275,0.4117647058823529,0.3484848484848485,0.08974358974358974,0.5487804878048781,0.5694444444444444,0.03629004761178406,0.4305555555555556,0.1388888888888889,0.5645161290322581,0.5,0.4605263157894737,0.14705882352941177
15,0.5794871794871795,0.8125,2.852689460215653,0.42986111111111114,0.38263888888888886,0.6397415185783522,0.5117967332123412,0.49129353233830847,0.4405705229793978,0.44696969696969696,0.9166666666666666,-0.2709275876218612,0.6458333333333334,0.2708333333333333,0.41935483870967744,0.5128205128205128,0.5909090909090909,0.2564102564102564,0.5511811023622047,0.8819444444444444,0.04895365746883937,0.6805555555555556,0.2013888888888889,0.5510204081632653,0.5517241379310345,0.7105263157894737,0.23529411764705882
16,0.5825410544511668,0.8034722222222223,3.3424645030161244,0.43472222222222223,0.36875,0.646964856230032,0.5065913370998116,0.5024875621890548,0.4215530903328051,0.4306569343065693,0.9513888888888888,-0.19025850936140004,0.9375,0.013888888888888888,0.43703703703703706,0.0,0.8939393939393939,0.0,0.5251798561151079,0.9652777777777778,0.13242466977605022,0.9305555555555556,0.034722222222222224,0.5373134328358209,0.2,0.9473684210526315,0.014705882352941176
17,0.5868824531516184,0.8152777777777778,3.3229493964579895,0.4986111111111111,0.31666666666666665,0.6267409470752089,0.5241228070175439,0.5584577114427861,0.37400950871632327,0.4375,1.0,-0.2146483823788074,0.8680555555555556,0.13194444444444445,0.44,0.42105263157894735,0.8333333333333334,0.10256410256410256,0.5277777777777778,1.0,0.08259297596272441,0.8472222222222222,0.1527777777777778,0.5327868852459017,0.5,0.8552631578947368,0.16176470588235295
