Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.49770992366412214,0.4548611111111111,0.2754683141882178,0.20347222222222222,0.2513888888888889,0.5494880546075085,0.4558011049723757,0.20827943078913325,0.2458521870286576,0.3888888888888889,0.375,-0.1598626576417917,0.10416666666666667,0.2708333333333333,0.4666666666666667,0.358974358974359,0.08333333333333333,0.23333333333333334,0.4318181818181818,0.3055555555555556,0.006308539208757806,0.08333333333333333,0.2222222222222222,0.5,0.40625,0.060240963855421686,0.21666666666666667
1,0.5752330226364847,0.5215277777777778,2.4168564471233878,0.2708333333333333,0.25069444444444444,0.6,0.5484764542936288,0.3014230271668823,0.2971342383107089,0.5227272727272727,0.6111111111111112,0.011585358901876985,0.5208333333333334,0.09027777777777778,0.5466666666666666,0.38461538461538464,0.4880952380952381,0.08333333333333333,0.6265060240963856,0.5763888888888888,0.21359055544289893,0.4583333333333333,0.11805555555555555,0.6515151515151515,0.5294117647058824,0.5060240963855421,0.15
2,0.6252796420581656,0.6208333333333333,4.183539783477191,0.32013888888888886,0.30069444444444443,0.6464208242950108,0.6027713625866051,0.38421733505821476,0.39215686274509803,0.5189873417721519,0.5486111111111112,-0.10455802112588264,0.3194444444444444,0.22916666666666666,0.6086956521739131,0.3939393939393939,0.3333333333333333,0.21666666666666667,0.6,0.4166666666666667,0.16186296296526947,0.2708333333333333,0.14583333333333334,0.6923076923076923,0.42857142857142855,0.3132530120481928,0.15
3,0.6604127579737336,0.7402777777777778,6.718906046482129,0.37430555555555556,0.3659722222222222,0.6920222634508348,0.6280834914611005,0.48124191461837,0.4947209653092006,0.5181818181818182,0.7638888888888888,-0.08971209349180186,0.3611111111111111,0.4027777777777778,0.6153846153846154,0.43103448275862066,0.38095238095238093,0.4166666666666667,0.4444444444444444,0.625,0.015923933168389613,0.2569444444444444,0.3680555555555556,0.5405405405405406,0.37735849056603776,0.2289156626506024,0.3333333333333333
4,0.7016622922134733,0.79375,8.443198773454908,0.40902777777777777,0.38472222222222224,0.7266553480475382,0.6750902527075813,0.5523932729624839,0.5610859728506787,0.4690265486725664,0.7847222222222222,-0.12870248381236893,0.20833333333333334,0.5763888888888888,0.6666666666666666,0.39759036144578314,0.23809523809523808,0.55,0.3939393939393939,0.6875,-0.1027292678682244,0.0625,0.625,0.4444444444444444,0.3888888888888889,0.03614457831325301,0.5833333333333334
5,0.7148900169204738,0.8208333333333333,9.818785975792736,0.41597222222222224,0.4048611111111111,0.7562604340567612,0.6723842195540308,0.5860284605433377,0.5852187028657617,0.45323741007194246,0.9652777777777778,-0.22093692176246488,0.2152777777777778,0.75,0.5806451612903226,0.4166666666666667,0.21428571428571427,0.75,0.39855072463768115,0.9583333333333334,-0.19838447234386314,0.11805555555555555,0.8402777777777778,0.4117647058823529,0.39669421487603307,0.07228915662650602,0.8
6,0.7519809825673535,0.8763888888888889,10.52716613134351,0.4375,0.4388888888888889,0.7841269841269841,0.7199367088607594,0.6377749029754204,0.6817496229260935,0.4628099173553719,0.8402777777777778,-0.15098992595194718,0.2916666666666667,0.5486111111111112,0.6190476190476191,0.379746835443038,0.30952380952380953,0.5,0.43548387096774194,0.8611111111111112,-0.1307828849151,0.2152777777777778,0.6458333333333334,0.5483870967741935,0.3978494623655914,0.1927710843373494,0.6166666666666667
7,0.7628865979381443,0.8756944444444444,10.996365870699387,0.4375,0.43819444444444444,0.792063492063492,0.7337559429477021,0.6442432082794308,0.6953242835595776,0.47413793103448276,0.8055555555555556,-0.12973748253070658,0.3055555555555556,0.5,0.6136363636363636,0.3888888888888889,0.32142857142857145,0.4666666666666667,0.49019607843137253,0.7083333333333334,-0.02724934875055664,0.2638888888888889,0.4444444444444444,0.6052631578947368,0.421875,0.26506024096385544,0.45
8,0.7572892040977147,0.88125,11.269891506839889,0.44166666666666665,0.4395833333333333,0.7861635220125787,0.7282780410742496,0.6455368693402329,0.6907993966817496,0.47058823529411764,0.9444444444444444,-0.14203358749631095,0.3819444444444444,0.5625,0.5636363636363636,0.4074074074074074,0.36904761904761907,0.55,0.5073529411764706,0.9444444444444444,0.014400839931327923,0.375,0.5694444444444444,0.6481481481481481,0.4146341463414634,0.40963855421686746,0.5666666666666667
9,0.7970565453137103,0.8965277777777778,11.868956128903244,0.4666666666666667,0.42986111111111114,0.8229166666666666,0.7689822294022617,0.7128072445019404,0.7164404223227753,0.48201438848920863,0.9652777777777778,-0.11540012773662586,0.5347222222222222,0.4305555555555556,0.5714285714285714,0.3709677419354839,0.5238095238095238,0.38333333333333336,0.5352112676056338,0.9861111111111112,-0.03522294163682106,0.5833333333333334,0.4027777777777778,0.6071428571428571,0.43103448275862066,0.6024096385542169,0.4166666666666667
10,0.7975365665896844,0.9020833333333333,12.158881718534001,0.46805555555555556,0.4340277777777778,0.8234421364985163,0.7696,0.7153945666235446,0.7239819004524887,0.4785714285714286,0.9722222222222222,-0.1366200780451261,0.4027777777777778,0.5694444444444444,0.5689655172413793,0.4146341463414634,0.39285714285714285,0.5666666666666667,0.5111111111111111,0.9375,-0.04303470534588068,0.3263888888888889,0.6111111111111112,0.6170212765957447,0.45454545454545453,0.3493975903614458,0.65
