Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.53437876960193,0.5756944444444444,0.1554117493584249,0.4486111111111111,0.12708333333333333,0.5773993808049536,0.3825136612021858,0.47388535031847134,0.10599078341013825,0.5172413793103449,0.4027777777777778,0.021816473827224146,0.3680555555555556,0.034722222222222224,0.5471698113207547,0.2,0.4142857142857143,0.013513513513513514,0.5540540540540541,0.5138888888888888,0.14118349619247092,0.4861111111111111,0.027777777777777776,0.5285714285714286,1.0,0.5441176470588235,0.05405405405405406
1,0.5448634590377113,0.5340277777777778,1.0993537983720059,0.3625,0.17152777777777778,0.5919540229885057,0.44534412955465585,0.39363057324840767,0.16897081413210446,0.5145631067961165,0.7152777777777778,-0.016264592876950267,0.3263888888888889,0.3888888888888889,0.5319148936170213,0.5,0.35714285714285715,0.3783783783783784,0.5730337078651685,0.6180555555555556,0.18206661732367338,0.4027777777777778,0.2152777777777778,0.5344827586206896,0.6451612903225806,0.45588235294117646,0.2702702702702703
2,0.5743534482758621,0.6444444444444445,1.9776670019573876,0.3819444444444444,0.2625,0.6272727272727273,0.4973544973544973,0.4369426751592357,0.2857142857142857,0.5327102803738317,0.7430555555555556,0.029307481193709885,0.3958333333333333,0.3472222222222222,0.5263157894736842,0.54,0.42857142857142855,0.36486486486486486,0.5566037735849056,0.7361111111111112,0.03191698036761854,0.5,0.2361111111111111,0.5277777777777778,0.6176470588235294,0.5588235294117647,0.25675675675675674
3,0.6089931573802542,0.7104166666666667,3.384423535369933,0.40069444444444446,0.30972222222222223,0.6620450606585788,0.5403587443946188,0.4840764331210191,0.37019969278033793,0.48031496062992124,0.8819444444444444,-0.11922157556288057,0.5625,0.3194444444444444,0.48148148148148145,0.4782608695652174,0.5571428571428572,0.2972972972972973,0.5203252032520326,0.8541666666666666,0.18071561359122945,0.5416666666666666,0.3125,0.48717948717948717,0.5777777777777777,0.5588235294117647,0.35135135135135137
4,0.6476190476190476,0.8020833333333334,4.736808041156562,0.4527777777777778,0.34930555555555554,0.6809815950920245,0.6043737574552683,0.5656050955414013,0.46390168970814133,0.5407407407407407,0.9375,0.047033463230875906,0.6597222222222222,0.2777777777777778,0.5263157894736842,0.575,0.7142857142857143,0.3108108108108108,0.5581395348837209,0.8958333333333334,0.20172488290461768,0.6319444444444444,0.2638888888888889,0.5274725274725275,0.631578947368421,0.6764705882352942,0.32432432432432434
5,0.6517706576728499,0.8236111111111111,5.223954886201503,0.4708333333333333,0.3527777777777778,0.6843657817109144,0.6082677165354331,0.5910828025477707,0.4685099846390169,0.5111111111111111,0.9375,-0.04738729160912173,0.5902777777777778,0.3472222222222222,0.4823529411764706,0.56,0.5857142857142857,0.3783783783783784,0.48854961832061067,0.9097222222222222,0.05780666003711879,0.5694444444444444,0.3402777777777778,0.4878048780487805,0.4897959183673469,0.5882352941176471,0.32432432432432434
6,0.6799674267100977,0.8527777777777777,5.685306358198087,0.47430555555555554,0.3784722222222222,0.7130307467057101,0.6385321100917432,0.6203821656050955,0.5284178187403994,0.5384615384615384,0.9027777777777778,0.03802205632921566,0.6041666666666666,0.2986111111111111,0.5172413793103449,0.5813953488372093,0.6428571428571429,0.33783783783783783,0.5038167938931297,0.9097222222222222,0.011888998681083103,0.6180555555555556,0.2916666666666667,0.4943820224719101,0.5238095238095238,0.6470588235294118,0.2972972972972973
7,0.7080231596360629,0.8395833333333333,6.526526124674267,0.45208333333333334,0.3875,0.7465437788018433,0.6630824372759857,0.6165605095541401,0.565284178187404,0.5179856115107914,0.9652777777777778,-0.0453090625530617,0.4861111111111111,0.4791666666666667,0.4857142857142857,0.5507246376811594,0.4857142857142857,0.5135135135135135,0.5352112676056338,0.9861111111111112,0.1084210661335229,0.5555555555555556,0.4305555555555556,0.5,0.5806451612903226,0.5882352941176471,0.4594594594594595
8,0.7356687898089171,0.8722222222222222,7.166237085206765,0.46458333333333335,0.4076388888888889,0.7638266068759342,0.7035775127768313,0.6509554140127388,0.6282642089093702,0.5481481481481482,0.9375,0.004287550665786772,0.3472222222222222,0.5902777777777778,0.54,0.5529411764705883,0.38571428571428573,0.6351351351351351,0.5766423357664233,0.9513888888888888,0.20627191159260014,0.4861111111111111,0.4652777777777778,0.5428571428571428,0.6119402985074627,0.5588235294117647,0.527027027027027
9,0.7306477093206951,0.8791666666666667,7.266760567448899,0.45069444444444445,0.4284722222222222,0.7765793528505393,0.6823338735818476,0.640764331210191,0.6436251920122887,0.5142857142857142,0.9722222222222222,-0.04748788434624324,0.5208333333333334,0.4513888888888889,0.49333333333333335,0.5384615384615384,0.5285714285714286,0.47297297297297297,0.572463768115942,0.9583333333333334,0.1791806385925223,0.5416666666666666,0.4166666666666667,0.5641025641025641,0.5833333333333334,0.6176470588235294,0.47297297297297297
