Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5100788781770377,0.7923611111111111,0.24647501380272893,0.46111111111111114,0.33125,0.5225903614457831,0.49266247379454925,0.4609053497942387,0.3313953488372093,0.4166666666666667,1.0,-0.11009775030411607,0.0,1.0,0,0.4166666666666667,0.0,1.0,0.5486111111111112,1.0,0.061002100317076896,0.0,1.0,0,0.5486111111111112,0.0,1.0
1,0.5108790252393386,0.7979166666666667,0.16883314208556804,0.4027777777777778,0.3951388888888889,0.5172413793103449,0.5043936731107206,0.401920438957476,0.40261627906976744,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
2,0.5202558635394456,0.6513888888888889,0.28053960580569737,0.39375,0.25763888888888886,0.5379188712522046,0.49326145552560646,0.40329218106995884,0.2601744186046512,0.5833333333333334,1.0,0.11009775030411607,1.0,0.0,0.5833333333333334,0,1.0,0.0,0.4652777777777778,1.0,-0.061002100317076896,1.0,0.0,0.4652777777777778,0,1.0,0.0
3,0.481810115350488,0.7826388888888889,-0.36430277926185045,0.4701388888888889,0.3125,0.4963072378138848,0.46,0.4444444444444444,0.2936046511627907,0.5833333333333334,1.0,0.11009775030411607,1.0,0.0,0.5833333333333334,0,1.0,0.0,0.4652777777777778,1.0,-0.061002100317076896,1.0,0.0,0.4652777777777778,0,1.0,0.0
4,0.5256290773532153,0.7451388888888889,0.5010439880359114,0.48819444444444443,0.2569444444444444,0.5291607396870555,0.518918918918919,0.49382716049382713,0.27325581395348836,0.5833333333333334,1.0,0.11009775030411607,1.0,0.0,0.5833333333333334,0,1.0,0.0,0.4652777777777778,1.0,-0.061002100317076896,1.0,0.0,0.4652777777777778,0,1.0,0.0
5,0.4936014625228519,0.7597222222222222,-0.3524347196194618,0.44930555555555557,0.3104166666666667,0.4945904173106646,0.49217002237136465,0.4252400548696845,0.311046511627907,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
6,0.5205627705627706,0.6416666666666667,0.6210348124232635,0.34097222222222223,0.30069444444444443,0.5437881873727087,0.4942263279445728,0.35802469135802467,0.29941860465116277,0.4166666666666667,1.0,-0.11009775030411607,0.0,1.0,0,0.4166666666666667,0.0,1.0,0.5486111111111112,1.0,0.061002100317076896,0.0,1.0,0,0.5486111111111112,0.0,1.0
7,0.499113475177305,0.7833333333333333,-0.22428679875514307,0.375,0.4083333333333333,0.5166666666666667,0.48299319727891155,0.37448559670781895,0.3938953488372093,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
8,0.49398907103825135,0.6354166666666666,-0.23740333139255398,0.3840277777777778,0.2513888888888889,0.4972875226039783,0.4889502762430939,0.3635116598079561,0.25290697674418605,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
9,0.5077559462254395,0.6715277777777777,0.223811937750275,0.4215277777777778,0.25,0.5271828665568369,0.475,0.42661179698216734,0.23982558139534885,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
10,0.5255555555555556,0.625,0.2339085900056812,0.39166666666666666,0.23333333333333334,0.5319148936170213,0.5148809523809523,0.39780521262002744,0.24854651162790697,0.5833333333333334,1.0,0.11009775030411607,1.0,0.0,0.5833333333333334,0,1.0,0.0,0.4652777777777778,1.0,-0.061002100317076896,1.0,0.0,0.4652777777777778,0,1.0,0.0
11,0.5223048327137546,0.7472222222222222,-0.2790323269494632,0.45625,0.29097222222222224,0.5342465753424658,0.5035799522673031,0.46502057613168724,0.3008720930232558,0.4166666666666667,1.0,-0.11009775030411607,0.0,1.0,0,0.4166666666666667,0.0,1.0,0.5486111111111112,1.0,0.061002100317076896,0.0,1.0,0,0.5486111111111112,0.0,1.0
12,0.5044326241134752,0.7833333333333333,-0.02426322220920614,0.38819444444444445,0.3951388888888889,0.5134168157423972,0.4956063268892794,0.38271604938271603,0.3938953488372093,0.4166666666666667,1.0,-0.11009775030411607,0.0,1.0,0,0.4166666666666667,0.0,1.0,0.5486111111111112,1.0,0.061002100317076896,0.0,1.0,0,0.5486111111111112,0.0,1.0
13,0.5271687321258341,0.7284722222222222,0.29345149086048333,0.36944444444444446,0.3590277777777778,0.5545112781954887,0.4990328820116054,0.3895747599451303,0.36046511627906974,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
14,0.5230439442658092,0.6479166666666667,0.18417125417059538,0.41458333333333336,0.23333333333333334,0.525963149078727,0.5178571428571429,0.41426611796982166,0.24563953488372092,0.4166666666666667,1.0,-0.11009775030411607,0.0,1.0,0,0.4166666666666667,0.0,1.0,0.5486111111111112,1.0,0.061002100317076896,0.0,1.0,0,0.5486111111111112,0.0,1.0
15,0.5022381378692927,0.7756944444444445,0.12985498216143485,0.3715277777777778,0.4041666666666667,0.508411214953271,0.4965635738831615,0.36213991769547327,0.40988372093023256,0.5833333333333334,1.0,0.11009775030411607,1.0,0.0,0.5833333333333334,0,1.0,0.0,0.4652777777777778,1.0,-0.061002100317076896,1.0,0.0,0.4652777777777778,0,1.0,0.0
16,0.5365402405180388,0.7506944444444444,0.12052079070795824,0.48055555555555557,0.2701388888888889,0.5433526011560693,0.5244215938303342,0.5075445816186557,0.2819767441860465,0.5833333333333334,1.0,0.11009775030411607,1.0,0.0,0.5833333333333334,0,1.0,0.0,0.4652777777777778,1.0,-0.061002100317076896,1.0,0.0,0.4652777777777778,0,1.0,0.0
17,0.4805194805194805,0.7486111111111111,-0.6249774761518535,0.43125,0.3173611111111111,0.4863123993558776,0.4726477024070022,0.401920438957476,0.30523255813953487,0.4166666666666667,1.0,-0.11009775030411607,0.0,1.0,0,0.4166666666666667,0.0,1.0,0.5486111111111112,1.0,0.061002100317076896,0.0,1.0,0,0.5486111111111112,0.0,1.0
18,0.5281757402101241,0.7270833333333333,0.16864934814154484,0.34652777777777777,0.38055555555555554,0.5250501002004008,0.531021897810219,0.35253772290809327,0.40843023255813954,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
19,0.5017421602787456,0.5979166666666667,-0.19712116202784438,0.3076388888888889,0.2902777777777778,0.5214446952595937,0.48086124401913877,0.30727023319615915,0.2863372093023256,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
20,0.5272525027808677,0.6243055555555556,0.3423844656867404,0.34791666666666665,0.2763888888888889,0.5489021956087824,0.5,0.36899862825788754,0.27906976744186046,0.5833333333333334,1.0,0.11009775030411607,1.0,0.0,0.5833333333333334,0,1.0,0.0,0.4652777777777778,1.0,-0.061002100317076896,1.0,0.0,0.4652777777777778,0,1.0,0.0
21,0.49720149253731344,0.7444444444444445,-0.3809660926921365,0.48194444444444445,0.2625,0.521613832853026,0.4523809523809524,0.4828532235939643,0.2369186046511628,0.5833333333333334,1.0,0.11009775030411607,1.0,0.0,0.5833333333333334,0,1.0,0.0,0.4652777777777778,1.0,-0.061002100317076896,1.0,0.0,0.4652777777777778,0,1.0,0.0
22,0.509469696969697,0.7333333333333333,-0.06913338485356146,0.5131944444444444,0.22013888888888888,0.5182679296346414,0.4889589905362776,0.50480109739369,0.2194767441860465,0.5833333333333334,1.0,0.11009775030411607,1.0,0.0,0.5833333333333334,0,1.0,0.0,0.4652777777777778,1.0,-0.061002100317076896,1.0,0.0,0.4652777777777778,0,1.0,0.0
23,0.5124131082423039,0.6993055555555555,-0.06641565384448365,0.47291666666666665,0.2263888888888889,0.5286343612334802,0.4785276073619632,0.4732510288065844,0.22674418604651161,0.5833333333333334,1.0,0.11009775030411607,1.0,0.0,0.5833333333333334,0,1.0,0.0,0.4652777777777778,1.0,-0.061002100317076896,1.0,0.0,0.4652777777777778,0,1.0,0.0
