Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4962121212121212,0.55,0.18399145762200714,0.29791666666666666,0.2520833333333333,0.5058275058275058,0.48484848484848486,0.29831932773109243,0.23863636363636365,0.5,0.3472222222222222,-0.03161240083308354,0.2777777777777778,0.06944444444444445,0.475,0.6,0.25333333333333335,0.08695652173913043,0.6842105263157895,0.2638888888888889,0.05664741407536058,0.2638888888888889,0.0,0.6842105263157895,0,0.32894736842105265,0.0
1,0.5191815856777494,0.5430555555555555,0.9881314378913615,0.32708333333333334,0.21597222222222223,0.5329087048832272,0.4983922829581994,0.34593837535014005,0.21306818181818182,0.5147058823529411,0.9444444444444444,0.04738325148903551,0.9375,0.006944444444444444,0.5185185185185185,0.0,0.9333333333333333,0.0,0.5486111111111112,1.0,0.06668888529335268,1.0,0.0,0.5486111111111112,0,1.0,0.0
2,0.5226293103448276,0.6444444444444445,0.8430180687777227,0.41041666666666665,0.23402777777777778,0.5279187817258884,0.5133531157270029,0.42296918767507,0.2372159090909091,0.54,0.3472222222222222,0.08211763704572735,0.2638888888888889,0.08333333333333333,0.5789473684210527,0.4166666666666667,0.29333333333333333,0.07246376811594203,0.42857142857142855,0.14583333333333334,-0.013655596780247022,0.09027777777777778,0.05555555555555555,0.38461538461538464,0.5,0.05263157894736842,0.06153846153846154
3,0.5625615763546798,0.7048611111111112,2.7928912000398824,0.3819444444444444,0.3229166666666667,0.5672727272727273,0.556989247311828,0.4257703081232493,0.35511363636363635,0.59375,0.4444444444444444,0.14205389713770916,0.3958333333333333,0.04861111111111111,0.5964912280701754,0.5714285714285714,0.4533333333333333,0.057971014492753624,0.6231884057971014,0.4791666666666667,0.15367830052850148,0.4375,0.041666666666666664,0.6031746031746031,0.8333333333333334,0.4868421052631579,0.07692307692307693
4,0.5748792270531401,0.71875,3.7863655342067366,0.39652777777777776,0.32222222222222224,0.5761821366024519,0.5732758620689655,0.4523809523809524,0.36363636363636365,0.5633802816901409,0.9861111111111112,0.12789485419686508,0.6527777777777778,0.3333333333333333,0.5638297872340425,0.5625,0.7066666666666667,0.391304347826087,0.5694444444444444,1.0,0.17733799207670178,0.5625,0.4375,0.5925925925925926,0.5396825396825397,0.618421052631579,0.49230769230769234
5,0.614019520851819,0.7826388888888889,4.818126944792312,0.42916666666666664,0.35347222222222224,0.6197411003236246,0.6070726915520629,0.5252100840336135,0.4275568181818182,0.4930555555555556,1.0,0.005636139278282373,0.6944444444444444,0.3055555555555556,0.51,0.45454545454545453,0.68,0.2898550724637681,0.5277777777777778,1.0,-0.01343468982634293,0.8333333333333334,0.16666666666666666,0.5416666666666666,0.4583333333333333,0.8289473684210527,0.15384615384615385
6,0.588495575221239,0.7847222222222222,4.046538523952193,0.42291666666666666,0.36180555555555555,0.5747126436781609,0.6046065259117083,0.48179271708683474,0.4346590909090909,0.5447154471544715,0.8541666666666666,0.13255624411797892,0.6736111111111112,0.18055555555555555,0.5567010309278351,0.5,0.72,0.18840579710144928,0.5819672131147541,0.8472222222222222,0.122684596450853,0.7569444444444444,0.09027777777777778,0.5779816513761468,0.6153846153846154,0.8026315789473685,0.1076923076923077
7,0.6097560975609756,0.76875,4.850075091527717,0.41597222222222224,0.3527777777777778,0.5993322203672788,0.6220472440944882,0.4957983193277311,0.4318181818181818,0.5350877192982456,0.7916666666666666,0.06940707292933589,0.3819444444444444,0.4097222222222222,0.5818181818181818,0.4915254237288136,0.4266666666666667,0.42028985507246375,0.5603448275862069,0.8055555555555556,0.1508302239749751,0.5,0.3055555555555556,0.5694444444444444,0.5454545454545454,0.5263157894736842,0.35384615384615387
8,0.6282952548330404,0.7902777777777777,6.120744830133297,0.41041666666666665,0.3798611111111111,0.626057529610829,0.6307129798903108,0.5084033613445378,0.4815340909090909,0.5454545454545454,0.9930555555555556,0.14196907005266882,0.7361111111111112,0.2569444444444444,0.5471698113207547,0.5405405405405406,0.7733333333333333,0.2898550724637681,0.5633802816901409,0.9861111111111112,0.13383160326945576,0.7916666666666666,0.19444444444444445,0.5701754385964912,0.5357142857142857,0.8289473684210527,0.2153846153846154
9,0.6078610603290676,0.7597222222222222,5.458219491797539,0.4083333333333333,0.35138888888888886,0.6020408163265306,0.6146245059288538,0.4831932773109244,0.4346590909090909,0.5591397849462365,0.6458333333333334,0.09969662068790942,0.4861111111111111,0.1597222222222222,0.5285714285714286,0.6521739130434783,0.49333333333333335,0.21739130434782608,0.59375,0.6666666666666666,0.11126101686624336,0.5625,0.10416666666666667,0.6049382716049383,0.5333333333333333,0.618421052631579,0.1076923076923077
