Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4925373134328358,0.4652777777777778,-0.38470559325484116,0.24930555555555556,0.21597222222222223,0.5125348189415042,0.4694533762057878,0.23848238482384823,0.21091445427728614,0.5138888888888888,0.5,0.026148919999180047,0.0,0.5,0,0.5138888888888888,0.0,0.5806451612903226,0.46296296296296297,0.375,-0.028940804816859872,0.0,0.375,0,0.46296296296296297,0.0,0.4098360655737705
1,0.5240641711229946,0.5194444444444445,0.08306421341267113,0.28402777777777777,0.23541666666666666,0.5452322738386308,0.49852507374631266,0.29132791327913277,0.23893805309734514,0.581081081081081,0.5138888888888888,0.13490146989303975,0.4652777777777778,0.04861111111111111,0.5970149253731343,0.42857142857142855,0.4936708860759494,0.04838709677419355,0.6571428571428571,0.4861111111111111,0.12647739410448366,0.4166666666666667,0.06944444444444445,0.6666666666666666,0.6,0.4819277108433735,0.09836065573770492
2,0.5172824791418356,0.5826388888888889,0.036293510422461026,0.3194444444444444,0.26319444444444445,0.5173913043478261,0.5171503957783641,0.3116531165311653,0.28171091445427726,0.4411764705882353,0.7083333333333334,-0.10573807802711829,0.0,0.7083333333333334,0,0.4411764705882353,0.0,0.7096774193548387,0.375,0.6666666666666666,-0.09274093407239739,0.0,0.6666666666666666,0,0.375,0.0,0.5901639344262295
3,0.534516765285996,0.7041666666666667,0.7223972768342993,0.3611111111111111,0.34305555555555556,0.5365384615384615,0.5323886639676113,0.3685636856368564,0.37168141592920356,0.5625,1.0,0.05666412540076715,0.5625,0.4375,0.6172839506172839,0.49206349206349204,0.5949367088607594,0.5,0.5486111111111112,1.0,0.07730315277207823,0.5555555555555556,0.4444444444444444,0.6125,0.46875,0.5903614457831325,0.4918032786885246
4,0.586472602739726,0.8111111111111111,2.7619298195847297,0.4583333333333333,0.3527777777777778,0.5954545454545455,0.5748031496062992,0.5149051490514905,0.4174041297935103,0.4725274725274725,0.6319444444444444,-0.05695993712823255,0.13194444444444445,0.5,0.631578947368421,0.4305555555555556,0.1518987341772152,0.5,0.5882352941176471,0.5902777777777778,0.08030073005564545,0.2013888888888889,0.3888888888888889,0.7241379310344828,0.5178571428571429,0.25301204819277107,0.47540983606557374
5,0.6244653550042771,0.8118055555555556,3.4580860791417094,0.41041666666666665,0.4013888888888889,0.649746192893401,0.5986159169550173,0.513550135501355,0.4941002949852507,0.4946236559139785,0.6458333333333334,-0.03933855501534654,0.3958333333333333,0.25,0.5789473684210527,0.3611111111111111,0.3924050632911392,0.20967741935483872,0.6,0.625,0.07304718419291763,0.3680555555555556,0.2569444444444444,0.6226415094339622,0.5675675675675675,0.39759036144578314,0.3442622950819672
6,0.6554552912223134,0.8465277777777778,4.496269773106847,0.45,0.39652777777777776,0.6743827160493827,0.6339754816112084,0.5785907859078591,0.5206489675516224,0.5514705882352942,0.9444444444444444,0.05058522695291709,0.5069444444444444,0.4375,0.589041095890411,0.5079365079365079,0.5063291139240507,0.5161290322580645,0.5882352941176471,0.9444444444444444,0.14378968143434967,0.5069444444444444,0.4375,0.6575342465753424,0.5079365079365079,0.5783132530120482,0.5245901639344263
7,0.6939935064935064,0.8555555555555555,5.394960165688446,0.43333333333333335,0.4222222222222222,0.7115384615384616,0.6759868421052632,0.5853658536585366,0.5914454277286135,0.5902777777777778,1.0,0.19001017265260722,0.6319444444444444,0.3680555555555556,0.6263736263736264,0.5283018867924528,0.6835443037974683,0.45161290322580644,0.6041666666666666,1.0,0.2905226848033464,0.5833333333333334,0.4166666666666667,0.6547619047619048,0.5333333333333333,0.6626506024096386,0.5245901639344263
8,0.6836248012718601,0.8736111111111111,5.45775556005008,0.4708333333333333,0.4027777777777778,0.6887905604719764,0.6775862068965517,0.6111111111111112,0.5707964601769911,0.4888888888888889,0.9375,-0.05867868027471485,0.3611111111111111,0.5763888888888888,0.5769230769230769,0.43373493975903615,0.34177215189873417,0.5806451612903226,0.5223880597014925,0.9305555555555556,-0.035044151808753116,0.4097222222222222,0.5208333333333334,0.5932203389830508,0.4666666666666667,0.42168674698795183,0.5737704918032787
9,0.7056986729117877,0.8895833333333333,5.903870177216131,0.4701388888888889,0.41944444444444445,0.7119645494830132,0.6986754966887417,0.6341463414634146,0.6091445427728613,0.4583333333333333,1.0,-0.014816575994621545,0.3263888888888889,0.6736111111111112,0.5319148936170213,0.422680412371134,0.2911392405063291,0.6451612903225806,0.5352112676056338,0.9861111111111112,-0.0006479610539091071,0.4166666666666667,0.5694444444444444,0.6333333333333333,0.4634146341463415,0.4578313253012048,0.6229508196721312
