Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.503006012024048,0.6930555555555555,-0.1039592799525377,0.25972222222222224,0.43333333333333335,0.5294117647058824,0.48717948717948717,0.25630810092961487,0.44047619047619047,0.6111111111111112,1.0,0.137333095715064,1.0,0.0,0.6111111111111112,0,1.0,0.0,0.5763888888888888,1.0,0.0909170524085448,1.0,0.0,0.5763888888888888,0,1.0,0.0
1,0.49382716049382713,0.73125,-0.1701459815945828,0.37222222222222223,0.3590277777777778,0.5055970149253731,0.4816247582205029,0.35325365205843295,0.3586309523809524,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0
2,0.500968992248062,0.7166666666666667,0.8484135044302697,0.3659722222222222,0.3506944444444444,0.5313092979127134,0.4693069306930693,0.3652058432934927,0.34672619047619047,0.6111111111111112,1.0,0.137333095715064,1.0,0.0,0.6111111111111112,0,1.0,0.0,0.5763888888888888,1.0,0.0909170524085448,1.0,0.0,0.5763888888888888,0,1.0,0.0
3,0.5283018867924528,0.8465277777777778,1.231992014181728,0.5069444444444444,0.33958333333333335,0.5438356164383562,0.5051124744376279,0.5152722443559097,0.3601190476190476,0.5902777777777778,1.0,0.10936667486954568,0.9791666666666666,0.020833333333333332,0.6028368794326241,0.0,0.9659090909090909,0.0,0.5763888888888888,1.0,0.0909170524085448,1.0,0.0,0.5763888888888888,0,1.0,0.0
4,0.5073465859982714,0.8034722222222223,1.1268675773768368,0.45625,0.3472222222222222,0.5266362252663622,0.482,0.45152722443559096,0.35119047619047616,0.6111111111111112,1.0,0.137333095715064,1.0,0.0,0.6111111111111112,0,1.0,0.0,0.5763888888888888,1.0,0.0909170524085448,1.0,0.0,0.5763888888888888,0,1.0,0.0
5,0.5413732394366197,0.7888888888888889,1.3778726853866696,0.4722222222222222,0.31666666666666665,0.5544117647058824,0.5219298245614035,0.48738379814077026,0.3482142857142857,0.3291139240506329,0.5486111111111112,-0.1578989873412406,0.020833333333333332,0.5277777777777778,0.3333333333333333,0.32894736842105265,0.011363636363636364,0.44642857142857145,0.38028169014084506,0.4930555555555556,-0.09260050595620405,0.027777777777777776,0.4652777777777778,0.25,0.3880597014925373,0.012658227848101266,0.39344262295081966
6,0.5260663507109005,0.7326388888888888,2.441920101177524,0.3840277777777778,0.3486111111111111,0.546112115732369,0.5039840637450199,0.3944223107569721,0.3705357142857143,0.3939393939393939,0.9166666666666666,-0.14855715227812655,0.125,0.7916666666666666,0.4444444444444444,0.38596491228070173,0.09090909090909091,0.7857142857142857,0.408,0.8680555555555556,-0.11816614892347889,0.125,0.7430555555555556,0.4444444444444444,0.40186915887850466,0.10126582278481013,0.639344262295082
7,0.5480591497227357,0.7513888888888889,2.633675235218469,0.3770833333333333,0.37430555555555556,0.570902394106814,0.5250463821892394,0.40903054448871184,0.4107142857142857,0.5714285714285714,0.19444444444444445,0.0018987254661558288,0.19444444444444445,0.0,0.5714285714285714,0,0.18181818181818182,0.0,0.5357142857142857,0.19444444444444445,-0.009839488320605575,0.19444444444444445,0.0,0.5357142857142857,0,0.189873417721519,0.0
8,0.546812749003984,0.6972222222222222,2.0023023605627377,0.3701388888888889,0.32708333333333334,0.5572232645403377,0.535031847133758,0.3837981407702523,0.37202380952380953,0.2972972972972973,0.5138888888888888,-0.1603361125405177,0.06944444444444445,0.4444444444444444,0.3,0.296875,0.03409090909090909,0.3392857142857143,0.4166666666666667,0.5,-0.07844728758217392,0.08333333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.06329113924050633,0.3770491803278688
9,0.5480769230769231,0.7222222222222222,2.6113684770394383,0.33958333333333335,0.38263888888888886,0.5869120654396728,0.5136116152450091,0.3758300132802125,0.40922619047619047,0.5625,0.7777777777777778,0.05990576163667043,0.7777777777777778,0.0,0.5625,0,0.7159090909090909,0.0,0.5798319327731093,0.8263888888888888,0.0864186110702945,0.8263888888888888,0.0,0.5798319327731093,0,0.8227848101265823,0.0
10,0.544,0.6944444444444444,2.378142675113452,0.3625,0.33194444444444443,0.5613026819923371,0.5251046025104602,0.3851261620185923,0.3586309523809524,0.3819444444444444,1.0,-0.14509586547131303,0.006944444444444444,0.9930555555555556,0.0,0.38461538461538464,0.0,0.9821428571428571,0.4444444444444444,1.0,-0.13588613616346332,0.006944444444444444,0.9930555555555556,0.0,0.44755244755244755,0.0,0.9836065573770492
11,0.5360230547550432,0.7229166666666667,1.9586769122726486,0.3215277777777778,0.4013888888888889,0.5831533477321814,0.4982698961937716,0.3545816733067729,0.41517857142857145,0.43478260869565216,0.4791666666666667,-0.09237194932278271,0.3194444444444444,0.1597222222222222,0.5434782608695652,0.21739130434782608,0.2840909090909091,0.08928571428571429,0.5606060606060606,0.4583333333333333,0.037856011663971394,0.375,0.08333333333333333,0.6111111111111112,0.3333333333333333,0.3924050632911392,0.06557377049180328
12,0.5365344467640919,0.6652777777777777,2.6645880156424315,0.34097222222222223,0.32430555555555557,0.5621181262729125,0.5096359743040685,0.36254980079681276,0.34375,0.6015037593984962,0.9236111111111112,0.10883906884696719,0.9236111111111112,0.0,0.6015037593984962,0,0.9090909090909091,0.0,0.5714285714285714,0.9722222222222222,0.08037078450372727,0.9722222222222222,0.0,0.5714285714285714,0,0.9620253164556962,0.0
13,0.5372393247269116,0.6993055555555555,2.282079135007276,0.4,0.29930555555555555,0.5625,0.5034802784222738,0.42363877822045154,0.3169642857142857,0.5172413793103449,0.6041666666666666,-0.010548717988207872,0.5138888888888888,0.09027777777777778,0.5675675675675675,0.23076923076923078,0.4772727272727273,0.05357142857142857,0.5402298850574713,0.6041666666666666,0.033025363769864535,0.5555555555555556,0.04861111111111111,0.5625,0.2857142857142857,0.5443037974683544,0.03278688524590164
14,0.5712830957230143,0.6819444444444445,3.4367945144464365,0.33958333333333335,0.3423611111111111,0.5930470347648262,0.5496957403651116,0.38247011952191234,0.3943452380952381,0.5545454545454546,0.7638888888888888,0.03397064237126881,0.7569444444444444,0.006944444444444444,0.5596330275229358,0.0,0.6931818181818182,0.0,0.5462962962962963,0.75,0.052005443856887365,0.75,0.0,0.5462962962962963,0,0.7088607594936709,0.0
15,0.5505050505050505,0.6875,2.7640308913127725,0.3736111111111111,0.3138888888888889,0.5762081784386617,0.5199115044247787,0.40106241699867196,0.34523809523809523,0.5694444444444444,1.0,0.07473619766501625,0.9166666666666666,0.08333333333333333,0.5984848484848485,0.25,0.8977272727272727,0.05357142857142857,0.5555555555555556,1.0,0.0628632575190066,0.9652777777777778,0.034722222222222224,0.5683453237410072,0.2,0.9493670886075949,0.01639344262295082
