Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5264900662251656,0.6291666666666667,0.16804003937966216,0.4618055555555556,0.1673611111111111,0.5639097744360902,0.42323651452282157,0.46464646464646464,0.1579778830963665,0.6111111111111112,1.0,0.06012555113255499,1.0,0.0,0.6111111111111112,0,1.0,0.0,0.5347222222222222,1.0,0.048428692379050925,1.0,0.0,0.5347222222222222,0,1.0,0.0
1,0.5163461538461539,0.7222222222222222,0.3467877973892488,0.5111111111111111,0.2111111111111111,0.5529891304347826,0.4276315789473684,0.5088383838383839,0.19747235387045814,0.6230769230769231,0.9027777777777778,0.03930501228996958,0.9027777777777778,0.0,0.6230769230769231,0,0.9176470588235294,0.0,0.5514705882352942,0.9444444444444444,0.07619017374512656,0.9375,0.006944444444444444,0.5481481481481482,1.0,0.9594594594594594,0.014925373134328358
2,0.526615969581749,0.7305555555555555,0.5845094638757726,0.5354166666666667,0.1951388888888889,0.556420233463035,0.44483985765124556,0.5340909090909091,0.1895734597156398,0.4596774193548387,0.8611111111111112,-0.003011032276630103,0.034722222222222224,0.8263888888888888,1.0,0.4369747899159664,0.058823529411764705,0.875,0.4959349593495935,0.8541666666666666,0.020211510758055818,0.041666666666666664,0.8125,0.5,0.49572649572649574,0.04054054054054054,0.8208955223880597
3,0.5261599210266535,0.7034722222222223,0.2579060019089268,0.4048611111111111,0.2986111111111111,0.5643224699828473,0.4744186046511628,0.4065656565656566,0.31437598736176936,1.0,0.034722222222222224,0.012807476151911362,0.034722222222222224,0.0,1.0,0,0.058823529411764705,0.0,0.42857142857142855,0.04861111111111111,0.012910031753996683,0.04861111111111111,0.0,0.42857142857142855,0,0.04054054054054054,0.0
4,0.5368303571428571,0.6222222222222222,0.6977956321908598,0.4340277777777778,0.18819444444444444,0.5696,0.4612546125461255,0.44191919191919193,0.19747235387045814,0.25,0.027777777777777776,-0.013615803147921372,0.0,0.027777777777777776,0,0.25,0.0,0.017857142857142856,0.47058823529411764,0.11805555555555555,-0.03216558686869435,0.0,0.11805555555555555,0,0.47058823529411764,0.0,0.1044776119402985
5,0.5126791620727673,0.6298611111111111,0.21212279424014188,0.3784722222222222,0.2513888888888889,0.5431192660550459,0.46685082872928174,0.3686868686868687,0.25908372827804105,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.25,0.027777777777777776,-0.02386243551383066,0.027777777777777776,0.0,0.25,0,0.013513513513513514,0.0
6,0.5287485907553551,0.6159722222222223,0.5226691194030086,0.40902777777777777,0.20694444444444443,0.5551782682512734,0.47651006711409394,0.4078282828282828,0.21800947867298578,0.5492957746478874,0.9861111111111112,-0.014999383173456091,0.6041666666666666,0.3819444444444444,0.632183908045977,0.41818181818181815,0.611764705882353,0.4107142857142857,0.4962962962962963,0.9375,-0.07043673491376591,0.5277777777777778,0.4097222222222222,0.5131578947368421,0.4745762711864407,0.5135135135135135,0.3880597014925373
7,0.5376016260162602,0.6833333333333333,1.073702856492011,0.4131944444444444,0.2701388888888889,0.5663865546218487,0.493573264781491,0.42045454545454547,0.2938388625592417,0.6111111111111112,1.0,0.06012555113255499,1.0,0.0,0.6111111111111112,0,1.0,0.0,0.5416666666666666,1.0,0.10402905554036493,0.9791666666666666,0.020833333333333332,0.5390070921985816,0.6666666666666666,0.9864864864864865,0.029850746268656716
8,0.5433070866141733,0.7055555555555556,0.7339786406949671,0.4652777777777778,0.24027777777777778,0.5746268656716418,0.48265895953757226,0.476010101010101,0.26066350710900477,1.0,0.006944444444444444,0.004711266657692825,0.006944444444444444,0.0,1.0,0,0.011764705882352941,0.0,0.5555555555555556,0.0625,0.030929996455672182,0.0625,0.0,0.5555555555555556,0,0.06756756756756757,0.0
9,0.5279569892473118,0.6458333333333334,0.8014921552055633,0.37083333333333335,0.275,0.5823970037453183,0.45454545454545453,0.3888888888888889,0.27488151658767773,0.5486111111111112,1.0,-0.0059027090520490065,0.6319444444444444,0.3680555555555556,0.6263736263736264,0.41509433962264153,0.6352941176470588,0.39285714285714285,0.5,1.0,-0.04226134644179913,0.5486111111111112,0.4513888888888889,0.5189873417721519,0.47692307692307695,0.5405405405405406,0.43283582089552236
10,0.5319548872180451,0.7388888888888889,0.9020422521079479,0.4201388888888889,0.31875,0.5702479338842975,0.48148148148148145,0.43308080808080807,0.3380726698262243,0.4857142857142857,0.9722222222222222,-0.012446605779970676,0.18055555555555555,0.7916666666666666,0.7307692307692307,0.4298245614035088,0.21176470588235294,0.8392857142857143,0.4859154929577465,0.9861111111111112,0.0019039259607777775,0.2361111111111111,0.75,0.5,0.48148148148148145,0.22972972972972974,0.7313432835820896
11,0.535953978906999,0.7243055555555555,0.7924032001820803,0.39375,0.33055555555555555,0.5749559082892416,0.4894957983193277,0.4053030303030303,0.36018957345971564,0.5413533834586466,0.9236111111111112,0.0066603555916094955,0.5,0.4236111111111111,0.625,0.4426229508196721,0.5176470588235295,0.44642857142857145,0.576,0.8680555555555556,0.05084975253942382,0.4444444444444444,0.4236111111111111,0.5625,0.5901639344262295,0.4864864864864865,0.4925373134328358
12,0.5351976856316297,0.7201388888888889,1.1449714713315546,0.39166666666666666,0.3284722222222222,0.5851063829787234,0.47568710359408034,0.4090909090909091,0.34913112164297,0.4166666666666667,1.0,-0.040350391983157714,0.006944444444444444,0.9930555555555556,1.0,0.4125874125874126,0.011764705882352941,1.0,0.4652777777777778,1.0,-0.07747076287104987,0.0763888888888889,0.9236111111111112,0.36363636363636365,0.47368421052631576,0.05405405405405406,0.8955223880597015
13,0.5350444225074038,0.7034722222222223,0.7607934158169829,0.36527777777777776,0.33819444444444446,0.5893536121673004,0.47638603696098564,0.3851010101010101,0.358609794628752,0.6111111111111112,1.0,0.06012555113255499,1.0,0.0,0.6111111111111112,0,1.0,0.0,0.5422535211267606,0.9861111111111112,0.07311056894020034,0.9861111111111112,0.0,0.5422535211267606,0,1.0,0.0
14,0.5198156682027649,0.7534722222222222,0.1593342333454249,0.4847222222222222,0.26875,0.5744985673352435,0.42118863049095606,0.494949494949495,0.25118483412322273,0.4444444444444444,1.0,-0.015150830710451695,0.1736111111111111,0.8263888888888888,0.6,0.4117647058823529,0.17647058823529413,0.8214285714285714,0.5,1.0,0.051230392911675776,0.2222222222222222,0.7777777777777778,0.53125,0.49107142857142855,0.22972972972972974,0.7761194029850746
15,0.5153203342618384,0.7479166666666667,0.6170636675715708,0.3909722222222222,0.35694444444444445,0.5790408525754884,0.4455252918287938,0.4065656565656566,0.3522906793048973,0.8,0.034722222222222224,0.015815890466165952,0.034722222222222224,0.0,0.8,0,0.047058823529411764,0.0,0.5,0.1111111111111111,-0.01720172777949118,0.1111111111111111,0.0,0.5,0,0.10810810810810811,0.0
16,0.5338345864661654,0.6465277777777778,0.903628595562663,0.39444444444444443,0.2520833333333333,0.5669014084507042,0.4820936639118457,0.4015151515151515,0.27014218009478674,0.6041666666666666,1.0,0.08387619201156761,0.8958333333333334,0.10416666666666667,0.6201550387596899,0.4666666666666667,0.9058823529411765,0.125,0.5555555555555556,1.0,0.12889361547162026,0.7222222222222222,0.2777777777777778,0.5576923076923077,0.55,0.7567567567567568,0.31343283582089554
17,0.5453695042095417,0.7423611111111111,0.9820631546970717,0.44375,0.2986111111111111,0.5712050078247262,0.5069767441860465,0.4494949494949495,0.3380726698262243,0.6277372262773723,0.9513888888888888,0.07277378971776861,0.9444444444444444,0.006944444444444444,0.625,1.0,0.9647058823529412,0.017857142857142856,0.59375,0.8888888888888888,0.17778032076876638,0.8541666666666666,0.034722222222222224,0.5772357723577236,1.0,0.918918918918919,0.07462686567164178
18,0.5341726618705036,0.7722222222222223,0.9025887744633903,0.4534722222222222,0.31875,0.5849923430321593,0.46187363834422657,0.47474747474747475,0.32385466034755134,0.4097222222222222,1.0,-0.06012555113255499,0.0,1.0,0,0.4097222222222222,0.0,1.0,0.5,1.0,-0.00587385453950595,0.013888888888888888,0.9861111111111112,1.0,0.49295774647887325,0.02702702702702703,1.0
19,0.5353356890459364,0.7861111111111111,0.6145620882447422,0.36944444444444446,0.4166666666666667,0.5902255639097744,0.4866666666666667,0.38762626262626265,0.4518167456556082,0.625,1.0,0.09239932301257213,0.9722222222222222,0.027777777777777776,0.6214285714285714,0.75,0.9882352941176471,0.05357142857142857,0.5902777777777778,1.0,0.17071221582677193,0.9027777777777778,0.09722222222222222,0.5692307692307692,0.7857142857142857,0.9594594594594594,0.16417910447761194
20,0.537219730941704,0.7743055555555556,0.7929343960381642,0.45,0.32430555555555557,0.5833333333333334,0.4732334047109208,0.4671717171717172,0.3412322274881517,0.5347222222222222,1.0,0.015591790623102396,0.5347222222222222,0.4652777777777778,0.6363636363636364,0.417910447761194,0.5411764705882353,0.5,0.5138888888888888,1.0,0.03127360191236493,0.4444444444444444,0.5555555555555556,0.53125,0.5,0.4594594594594595,0.5522388059701493
21,0.5631891433418151,0.81875,1.6214641189764396,0.45555555555555555,0.36319444444444443,0.6082317073170732,0.5066921606118547,0.49747474747474746,0.4107424960505529,0.4166666666666667,1.0,-0.04113714160250889,0.020833333333333332,0.9791666666666666,0.6666666666666666,0.41134751773049644,0.023529411764705882,0.9821428571428571,0.5069444444444444,1.0,-0.0109867573848857,0.10416666666666667,0.8958333333333334,0.6,0.49612403100775193,0.12162162162162163,0.9104477611940298
22,0.5342809364548495,0.8305555555555556,1.500501364005853,0.38680555555555557,0.44375,0.6014362657091562,0.4757433489827856,0.41919191919191917,0.46445497630331756,0.4861111111111111,1.0,0.009995353991809596,0.22916666666666666,0.7708333333333334,0.6666666666666666,0.43243243243243246,0.25882352941176473,0.8035714285714286,0.5069444444444444,1.0,0.03361770259746738,0.2986111111111111,0.7013888888888888,0.5348837209302325,0.49504950495049505,0.3108108108108108,0.7014925373134329
23,0.5445462114904246,0.8340277777777778,1.2004709109491016,0.40555555555555556,0.4284722222222222,0.6061643835616438,0.4862236628849271,0.4393939393939394,0.4628751974723539,0.4583333333333333,1.0,-0.02102406915588846,0.09027777777777778,0.9097222222222222,0.7692307692307693,0.42748091603053434,0.11764705882352941,0.9464285714285714,0.5138888888888888,1.0,0.03820139388615286,0.1527777777777778,0.8472222222222222,0.5909090909090909,0.5,0.17567567567567569,0.8656716417910447
24,0.523524379811805,0.8118055555555556,0.5768256448710345,0.38055555555555554,0.43125,0.5802919708029197,0.47342995169082125,0.3952020202020202,0.4518167456556082,0.5069444444444444,1.0,0.03586670655311672,0.19444444444444445,0.8055555555555556,0.75,0.4482758620689655,0.24705882352941178,0.875,0.5,1.0,0.021440496380463896,0.2361111111111111,0.7638888888888888,0.5294117647058824,0.4909090909090909,0.24324324324324326,0.7611940298507462
25,0.5410122164048866,0.7958333333333333,1.1920631939493638,0.4,0.3958333333333333,0.6111111111111112,0.47017543859649125,0.44065656565656564,0.41232227488151657,0.6201550387596899,0.8958333333333334,0.06573126020615307,0.8958333333333334,0.0,0.6201550387596899,0,0.9058823529411765,0.0,0.5625,0.7777777777777778,0.13377659486538745,0.7777777777777778,0.0,0.5625,0,0.8108108108108109,0.0
26,0.5283553875236295,0.7347222222222223,1.0734545922605812,0.4041666666666667,0.33055555555555555,0.5756013745704467,0.47058823529411764,0.4154040404040404,0.3459715639810427,0.4166666666666667,1.0,-0.04812664194248134,0.006944444444444444,0.9930555555555556,1.0,0.4125874125874126,0.011764705882352941,1.0,0.4930555555555556,1.0,-0.027944641908440336,0.034722222222222224,0.9652777777777778,0.6,0.4892086330935252,0.04054054054054054,0.9701492537313433
27,0.5207956600361664,0.7680555555555556,1.0686944518339272,0.3326388888888889,0.4354166666666667,0.5824634655532359,0.47368421052631576,0.34974747474747475,0.4518167456556082,0.4444444444444444,1.0,-0.029414576496902902,0.0625,0.9375,0.7777777777777778,0.4222222222222222,0.08235294117647059,0.9642857142857143,0.5347222222222222,1.0,0.11325191589387813,0.1597222222222222,0.8402777777777778,0.6521739130434783,0.512396694214876,0.20270270270270271,0.8805970149253731
28,0.5218531468531469,0.7944444444444444,1.045416443618056,0.3736111111111111,0.42083333333333334,0.5836431226765799,0.466996699669967,0.39015151515151514,0.43601895734597157,0.5555555555555556,0.25,0.03544528253801903,0.10416666666666667,0.14583333333333334,0.7333333333333333,0.42857142857142855,0.12941176470588237,0.16071428571428573,0.5342465753424658,0.5069444444444444,0.10898219950396322,0.20833333333333334,0.2986111111111111,0.5333333333333333,0.5348837209302325,0.21621621621621623,0.3283582089552239
