Date,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67
2014-08-22,9361.5,9368.0,9325.5,9325.0,9374.0,9383.5,9380.0,9384.0,9388.5,9395.5,9395.5,9386.5,9387.0,9414.0,9414.0,9415.0,9430.5,9425.0,9431.0,9448.5,9449.0,9452.0,9454.5,9456.0,9447.0,9449.0,9451.5,9467.0,9442.0,9421.0,9403.5,9426.0,9421.5,9408.5,9415.0,9398.5,9410.5,9414.0,9394.5,9404.5,9845.5,9715.5,9679.5,9691.0,9669.5,9438.0,9249.5,9277.0,9161.5,9172.0,9067.5,9158.5,9222.0,9146.5,9257.5,9304.5,9194.0,9326.0,9399.5,9395.5,10004.0,9897.5,9988.0,9832.5,9702.0,9679.5,9277.0,9222.0
2014-08-25,9415.0,9430.5,9425.0,9431.0,9448.5,9449.0,9452.0,9454.5,9456.0,9447.0,9449.0,9451.5,9467.0,9442.0,9421.0,9403.5,9426.0,9421.5,9408.5,9415.0,9398.5,9410.5,9414.0,9394.5,9404.5,9409.0,9514.5,9505.5,9494.5,9494.0,9490.5,9498.0,9507.0,9523.0,9545.0,9569.0,9550.5,9557.5,9548.0,9542.5,9715.5,9679.5,9691.0,9669.5,9438.0,9249.5,9277.0,9161.5,9172.0,9067.5,9158.5,9222.0,9146.5,9257.5,9304.5,9194.0,9326.0,9399.5,9395.5,9449.0,10004.0,9897.5,9988.0,9832.5,9702.0,9679.5,9277.0,9222.0
2014-08-26,9403.5,9426.0,9421.5,9408.5,9415.0,9398.5,9410.5,9414.0,9394.5,9404.5,9409.0,9514.5,9505.5,9494.5,9494.0,9490.5,9498.0,9507.0,9523.0,9545.0,9569.0,9550.5,9557.5,9548.0,9542.5,9552.5,9533.5,9536.0,9541.0,9508.0,9557.0,9603.0,9594.0,9613.0,9636.5,9646.5,9637.0,9633.0,9640.5,9630.0,9679.5,9691.0,9669.5,9438.0,9249.5,9277.0,9161.5,9172.0,9067.5,9158.5,9222.0,9146.5,9257.5,9304.5,9194.0,9326.0,9399.5,9395.5,9449.0,9409.0,10004.0,9897.5,9988.0,9832.5,9702.0,9679.5,9277.0,9222.0
2014-08-27,9490.5,9498.0,9507.0,9523.0,9545.0,9569.0,9550.5,9557.5,9548.0,9542.5,9552.5,9533.5,9536.0,9541.0,9508.0,9557.0,9603.0,9594.0,9613.0,9636.5,9646.5,9637.0,9633.0,9640.5,9630.0,9635.0,9638.5,9631.5,9633.5,9642.5,9635.0,9638.0,9638.5,9637.5,9628.0,9626.0,9626.0,9628.5,9623.5,9621.0,9691.0,9669.5,9438.0,9249.5,9277.0,9161.5,9172.0,9067.5,9158.5,9222.0,9146.5,9257.5,9304.5,9194.0,9326.0,9399.5,9395.5,9449.0,9409.0,9552.5,9897.5,9988.0,9832.5,9702.0,9679.5,9277.0,9222.0,9326.0
2014-08-28,9557.0,9603.0,9594.0,9613.0,9636.5,9646.5,9637.0,9633.0,9640.5,9630.0,9635.0,9638.5,9631.5,9633.5,9642.5,9635.0,9638.0,9638.5,9637.5,9628.0,9626.0,9626.0,9628.5,9623.5,9621.0,9622.5,9601.5,9570.0,9566.0,9531.5,9494.0,9496.0,9516.5,9517.5,9532.0,9528.0,9538.0,9533.0,9525.0,9523.5,9669.5,9438.0,9249.5,9277.0,9161.5,9172.0,9067.5,9158.5,9222.0,9146.5,9257.5,9304.5,9194.0,9326.0,9399.5,9395.5,9449.0,9409.0,9552.5,9635.0,9897.5,9988.0,9832.5,9702.0,9679.5,9277.0,9222.0,9326.0
2014-08-29,9635.0,9638.0,9638.5,9637.5,9628.0,9626.0,9626.0,9628.5,9623.5,9621.0,9622.5,9601.5,9570.0,9566.0,9531.5,9494.0,9496.0,9516.5,9517.5,9532.0,9528.0,9538.0,9533.0,9525.0,9523.5,9528.5,9541.0,9566.5,9560.5,9525.5,9550.5,9519.0,9508.0,9488.5,9466.0,9528.5,9531.5,9528.5,9523.5,9526.0,9438.0,9249.5,9277.0,9161.5,9172.0,9067.5,9158.5,9222.0,9146.5,9257.5,9304.5,9194.0,9326.0,9399.5,9395.5,9449.0,9409.0,9552.5,9635.0,9622.5,9897.5,9988.0,9832.5,9702.0,9679.5,9277.0,9222.0,9326.0
2014-09-01,9494.0,9496.0,9516.5,9517.5,9532.0,9528.0,9538.0,9533.0,9525.0,9523.5,9528.5,9541.0,9566.5,9560.5,9525.5,9550.5,9519.0,9508.0,9488.5,9466.0,9528.5,9531.5,9528.5,9523.5,9526.0,9533.0,9543.5,9534.0,9492.5,9513.0,9526.5,9529.5,9520.5,9521.0,9517.0,9531.0,9535.5,9537.5,9533.5,9535.0,9249.5,9277.0,9161.5,9172.0,9067.5,9158.5,9222.0,9146.5,9257.5,9304.5,9194.0,9326.0,9399.5,9395.5,9449.0,9409.0,9552.5,9635.0,9622.5,9528.5,9897.5,9988.0,9832.5,9702.0,9679.5,9277.0,9222.0,9326.0
2014-09-02,9550.5,9519.0,9508.0,9488.5,9466.0,9528.5,9531.5,9528.5,9523.5,9526.0,9533.0,9543.5,9534.0,9492.5,9513.0,9526.5,9529.5,9520.5,9521.0,9517.0,9531.0,9535.5,9537.5,9533.5,9535.0,9532.5,9596.5,9603.5,9630.0,9625.0,9623.0,9565.0,9579.0,9566.5,9576.0,9560.5,9539.0,9542.5,9558.5,9559.5,9277.0,9161.5,9172.0,9067.5,9158.5,9222.0,9146.5,9257.5,9304.5,9194.0,9326.0,9399.5,9395.5,9449.0,9409.0,9552.5,9635.0,9622.5,9528.5,9533.0,9897.5,9988.0,9832.5,9702.0,9679.5,9277.0,9222.0,9326.0
2014-09-03,9526.5,9529.5,9520.5,9521.0,9517.0,9531.0,9535.5,9537.5,9533.5,9535.0,9532.5,9596.5,9603.5,9630.0,9625.0,9623.0,9565.0,9579.0,9566.5,9576.0,9560.5,9539.0,9542.5,9558.5,9559.5,9560.0,9599.5,9607.5,9692.0,9676.5,9695.0,9680.5,9690.5,9694.5,9708.0,9676.0,9686.5,9682.5,9676.0,9674.0,9161.5,9172.0,9067.5,9158.5,9222.0,9146.5,9257.5,9304.5,9194.0,9326.0,9399.5,9395.5,9449.0,9409.0,9552.5,9635.0,9622.5,9528.5,9533.0,9532.5,9988.0,9832.5,9702.0,9679.5,9277.0,9222.0,9326.0,9552.5
2014-09-04,9623.0,9565.0,9579.0,9566.5,9576.0,9560.5,9539.0,9542.5,9558.5,9559.5,9560.0,9599.5,9607.5,9692.0,9676.5,9695.0,9680.5,9690.5,9694.5,9708.0,9676.0,9686.5,9682.5,9676.0,9674.0,9677.5,9659.5,9642.0,9612.5,9636.5,9678.5,9705.0,9732.5,9747.5,9794.5,9790.5,9790.0,9786.0,9771.5,9764.0,9172.0,9067.5,9158.5,9222.0,9146.5,9257.5,9304.5,9194.0,9326.0,9399.5,9395.5,9449.0,9409.0,9552.5,9635.0,9622.5,9528.5,9533.0,9532.5,9560.0,9988.0,9832.5,9702.0,9679.5,9277.0,9222.0,9326.0,9552.5
