Date,Time,Open,High,Low,Close,Volume
01/02/1998,00:00,14.58,14.79,14.57,14.75,41794661.0
01/05/1998,00:00,14.76,15.03,14.38,14.66,83353084.0
01/06/1998,00:00,14.6,14.96,14.54,14.72,71989135.0
01/07/1998,00:00,14.61,14.69,14.34,14.6,64521675.0
01/08/1998,00:00,14.47,14.86,14.34,14.68,82670304.0
01/09/1998,00:00,14.63,14.79,14.16,14.29,92706137.0
01/12/1998,00:00,13.99,14.62,13.99,14.57,82112958.0
01/13/1998,00:00,14.57,14.88,14.41,14.86,71010354.0
01/14/1998,00:00,14.86,14.9,14.54,14.74,58240076.0
01/15/1998,00:00,14.67,14.96,14.6,14.88,54922355.0
01/16/1998,00:00,15.02,15.23,14.89,15.21,69517745.0
01/20/1998,00:00,15.09,15.52,15.07,15.51,68952361.0
01/21/1998,00:00,15.44,15.57,15.22,15.41,87796224.0
01/22/1998,00:00,15.25,15.73,15.19,15.59,169739632.0
01/23/1998,00:00,15.61,15.68,15.42,15.54,68090959.0
01/26/1998,00:00,15.73,15.96,15.64,15.91,76832340.0
01/27/1998,00:00,16.02,16.41,15.92,16.33,102570340.0
01/28/1998,00:00,16.45,16.82,16.37,16.76,83284643.0
01/29/1998,00:00,16.75,16.89,16.59,16.67,79133072.0
01/30/1998,00:00,16.72,16.87,16.61,16.79,51738008.0
02/02/1998,00:00,17.07,17.45,16.93,17.41,105232849.0
02/03/1998,00:00,17.45,17.56,17.3,17.53,65322647.0
02/04/1998,00:00,17.53,17.77,17.44,17.65,64782142.0
02/05/1998,00:00,17.79,17.94,17.41,17.48,70520565.0
02/06/1998,00:00,17.48,17.8,17.44,17.79,52823438.0
02/09/1998,00:00,17.86,17.89,17.51,17.68,55949128.0
02/10/1998,00:00,17.69,17.94,17.63,17.91,48880801.0
02/11/1998,00:00,17.92,18.01,17.65,17.88,80288722.0
02/12/1998,00:00,17.78,17.88,17.55,17.86,82728121.0
02/13/1998,00:00,17.84,17.91,17.7,17.72,42488950.0
02/17/1998,00:00,17.83,17.83,17.31,17.36,88286067.0
02/18/1998,00:00,17.39,17.55,17.29,17.39,81809811.0
02/19/1998,00:00,17.49,17.56,17.35,17.42,78803263.0
02/20/1998,00:00,17.49,17.52,17.2,17.45,87025514.0
02/23/1998,00:00,18.19,18.38,17.86,18.35,121843631.0
02/24/1998,00:00,18.76,19.12,18.42,18.46,122868589.0
02/25/1998,00:00,18.77,19.12,18.69,19.11,99631769.0
02/26/1998,00:00,19.24,19.32,19.0,19.24,64408305.0
02/27/1998,00:00,19.25,19.35,19.02,19.08,49925790.0
03/02/1998,00:00,19.32,19.32,18.69,18.73,52418518.0
03/03/1998,00:00,18.59,19.01,18.57,19.0,51489531.0
03/04/1998,00:00,18.55,18.86,18.35,18.52,74109374.0
03/05/1998,00:00,17.8,18.32,17.74,18.01,94843705.0
03/06/1998,00:00,18.07,18.66,18.05,18.59,53269753.0
03/09/1998,00:00,18.56,18.56,17.89,17.91,53797354.0
03/10/1998,00:00,18.27,18.34,17.98,18.34,48299860.0
03/11/1998,00:00,18.45,18.45,17.94,18.14,42024493.0
03/12/1998,00:00,18.56,18.59,18.18,18.43,50015157.0
03/13/1998,00:00,18.55,18.67,18.35,18.53,32714108.0
03/16/1998,00:00,18.55,18.62,18.31,18.45,29062147.0
03/17/1998,00:00,18.38,18.38,17.93,18.07,55654438.0
03/18/1998,00:00,18.01,18.39,17.97,18.39,35110819.0
03/19/1998,00:00,18.34,18.52,18.28,18.45,32003812.0
03/20/1998,00:00,18.48,18.67,18.11,18.41,52334509.0
03/23/1998,00:00,18.27,19.04,18.24,18.87,59176618.0
03/24/1998,00:00,18.94,19.14,18.77,19.09,33991142.0
03/25/1998,00:00,20.36,20.46,19.63,19.99,124645237.0
03/26/1998,00:00,19.91,20.15,19.69,19.9,47207288.0
03/27/1998,00:00,20.11,20.11,19.7,19.74,40114923.0
03/30/1998,00:00,19.81,19.94,19.6,19.8,29110155.0
03/31/1998,00:00,19.92,20.21,19.91,20.14,37081717.0
04/01/1998,00:00,20.21,20.39,19.91,20.33,38870798.0
04/02/1998,00:00,20.4,20.68,20.22,20.53,44392757.0
04/03/1998,00:00,20.7,20.92,20.59,20.92,42319630.0
04/06/1998,00:00,20.84,20.84,20.04,20.23,75670909.0
04/07/1998,00:00,20.09,20.39,19.52,19.63,66204043.0
04/08/1998,00:00,19.52,20.04,19.49,19.99,39213511.0
04/09/1998,00:00,19.78,20.16,19.69,20.02,35484205.0
04/13/1998,00:00,19.98,20.01,19.52,19.95,34139595.0
04/14/1998,00:00,19.95,20.15,19.69,19.9,30034253.0
04/15/1998,00:00,20.08,20.56,19.99,20.54,42925921.0
04/16/1998,00:00,20.33,20.71,20.25,20.64,41430211.0
04/17/1998,00:00,20.59,20.75,20.32,20.73,34105820.0
04/20/1998,00:00,20.78,21.37,20.74,21.29,48244740.0
04/21/1998,00:00,21.29,21.37,20.95,21.36,53439996.0
04/22/1998,00:00,21.6,22.3,21.51,22.23,83722453.0
04/23/1998,00:00,21.88,21.91,21.23,21.26,65096357.0
04/24/1998,00:00,21.04,21.34,20.67,20.73,54685889.0
04/27/1998,00:00,20.14,20.36,19.91,20.32,57137340.0
04/28/1998,00:00,20.73,20.87,20.03,20.22,62209399.0
04/29/1998,00:00,20.26,20.59,20.16,20.36,54010277.0
04/30/1998,00:00,20.59,20.61,20.18,20.29,58080477.0
05/01/1998,00:00,20.29,20.46,19.8,20.18,39612645.0
05/04/1998,00:00,20.06,20.22,19.77,19.81,40534994.0
05/05/1998,00:00,19.71,20.19,19.57,19.74,54002285.0
05/06/1998,00:00,19.69,19.69,19.35,19.43,51124591.0
05/07/1998,00:00,19.39,19.4,18.72,18.76,84726117.0
05/08/1998,00:00,18.42,19.38,18.42,19.29,100914156.0
05/11/1998,00:00,19.38,19.39,18.91,18.97,54233814.0
05/12/1998,00:00,18.73,19.29,18.67,19.28,68221178.0
05/13/1998,00:00,19.97,20.02,19.46,19.57,83007275.0
05/14/1998,00:00,19.32,20.47,19.31,20.01,102175642.0
05/15/1998,00:00,20.28,20.29,19.97,20.11,46949019.0
05/18/1998,00:00,19.01,19.58,19.01,19.35,86236977.0
05/19/1998,00:00,19.31,19.56,19.25,19.46,55163275.0
05/20/1998,00:00,19.38,19.54,19.21,19.31,33772453.0
05/21/1998,00:00,19.31,19.66,19.24,19.43,39603309.0
05/22/1998,00:00,19.49,19.52,19.22,19.26,39087721.0
05/26/1998,00:00,19.19,19.39,18.79,18.81,45297737.0
05/27/1998,00:00,18.64,19.38,18.64,19.35,59442854.0
05/28/1998,00:00,19.29,19.43,19.14,19.42,32302509.0
05/29/1998,00:00,19.43,19.46,19.07,19.09,34646774.0
06/01/1998,00:00,18.87,19.03,18.7,18.84,44549204.0
06/02/1998,00:00,18.91,19.33,18.87,19.24,40232269.0
06/03/1998,00:00,19.32,19.46,18.9,18.95,37936464.0
06/04/1998,00:00,19.05,19.38,18.81,19.35,33055476.0
06/05/1998,00:00,19.32,19.46,19.07,19.4,35380641.0
06/08/1998,00:00,19.26,19.42,19.12,19.28,19356614.0
06/09/1998,00:00,19.19,19.7,19.18,19.57,38424509.0
06/10/1998,00:00,19.49,19.88,19.32,19.35,33718669.0
06/11/1998,00:00,19.46,19.6,19.15,19.21,44079824.0
06/12/1998,00:00,19.08,19.38,18.9,19.29,43966028.0
06/15/1998,00:00,19.05,19.64,19.02,19.33,45512437.0
06/16/1998,00:00,19.42,20.23,19.24,20.21,63309940.0
06/17/1998,00:00,20.23,20.78,20.19,20.47,80141616.0
06/18/1998,00:00,20.43,20.64,20.33,20.51,42335635.0
06/19/1998,00:00,20.89,21.32,20.81,21.29,82671279.0
06/22/1998,00:00,21.32,21.58,21.08,21.57,52123842.0
06/23/1998,00:00,21.54,22.69,21.43,22.67,134069820.0
06/24/1998,00:00,22.88,23.65,22.48,23.62,111029899.0
06/25/1998,00:00,23.82,24.04,22.81,22.86,95445519.0
06/26/1998,00:00,23.0,23.54,22.95,23.5,57466671.0
06/29/1998,00:00,23.73,24.23,23.68,24.17,69918708.0
06/30/1998,00:00,23.68,24.42,23.54,24.38,75601105.0
07/01/1998,00:00,24.55,24.78,24.11,24.61,55268175.0
07/02/1998,00:00,24.48,24.55,24.1,24.13,28197609.0
07/06/1998,00:00,24.04,24.31,23.71,24.23,36514098.0
07/07/1998,00:00,24.26,24.42,23.96,24.28,31757115.0
07/08/1998,00:00,24.33,24.78,24.02,24.72,43778025.0
07/09/1998,00:00,24.75,25.2,24.69,24.96,46905035.0
07/10/1998,00:00,25.0,25.48,24.72,25.46,48600313.0
07/13/1998,00:00,25.68,26.6,25.56,26.48,71222382.0
07/14/1998,00:00,26.63,26.72,26.03,26.21,59279302.0
07/15/1998,00:00,26.1,26.55,26.01,26.41,50897923.0
07/16/1998,00:00,26.56,26.74,26.24,26.38,67471754.0
07/17/1998,00:00,26.46,26.91,26.08,26.55,82304967.0
07/20/1998,00:00,26.59,26.88,26.28,26.32,49352414.0
07/21/1998,00:00,26.29,26.77,25.31,25.38,77969333.0
07/22/1998,00:00,25.2,26.38,25.17,26.24,75585575.0
07/23/1998,00:00,26.17,26.43,25.42,25.42,53973359.0
07/24/1998,00:00,25.59,26.01,25.3,25.6,64905687.0
07/27/1998,00:00,25.45,26.27,24.9,26.27,63021504.0
07/28/1998,00:00,26.1,26.29,25.21,25.25,82819257.0
07/29/1998,00:00,25.48,25.7,24.76,24.9,63353063.0
07/30/1998,00:00,25.14,25.56,24.92,25.51,73518655.0
07/31/1998,00:00,25.41,25.54,24.73,24.75,55361070.0
08/03/1998,00:00,24.55,24.94,24.16,24.38,78520567.0
08/04/1998,00:00,24.44,24.66,23.44,23.51,96677187.0
08/05/1998,00:00,23.43,23.9,22.83,23.47,118866813.0
08/06/1998,00:00,23.34,24.06,23.31,24.04,70546307.0
08/07/1998,00:00,24.17,24.18,23.64,23.83,58703667.0
08/10/1998,00:00,23.81,23.92,23.5,23.51,47822028.0
08/11/1998,00:00,23.14,23.48,22.95,23.27,62622324.0
08/12/1998,00:00,23.47,23.66,23.17,23.62,53227490.0
08/13/1998,00:00,23.43,23.85,23.34,23.38,52430534.0
08/14/1998,00:00,23.55,23.64,23.28,23.43,30348513.0
08/17/1998,00:00,23.28,24.16,23.17,24.16,56509659.0
08/18/1998,00:00,24.27,25.16,24.16,25.01,72741214.0
08/19/1998,00:00,25.25,25.37,24.8,24.89,59205504.0
08/20/1998,00:00,24.78,25.37,24.68,25.32,52308717.0
08/21/1998,00:00,25.0,25.17,24.47,24.87,59118389.0
08/24/1998,00:00,24.82,25.2,24.75,24.84,27342411.0
08/25/1998,00:00,25.06,25.58,24.97,25.34,46028941.0
08/26/1998,00:00,25.03,25.59,24.94,25.34,46028941.0
08/27/1998,00:00,24.87,25.37,24.41,24.59,77492902.0
08/28/1998,00:00,24.35,24.66,23.57,23.68,76361223.0
08/31/1998,00:00,23.59,23.96,21.54,21.58,134068502.0
09/01/1998,00:00,21.43,22.89,21.26,22.78,133316858.0
09/02/1998,00:00,22.91,23.45,22.55,22.62,66930342.0
09/03/1998,00:00,22.22,22.67,22.1,22.33,70793904.0
09/04/1998,00:00,22.43,22.55,21.63,21.74,52588342.0
09/08/1998,00:00,22.5,22.95,22.29,22.93,60924361.0
09/09/1998,00:00,23.0,23.5,22.86,23.0,69531558.0
09/10/1998,00:00,22.5,22.74,22.2,22.64,62722325.0
09/11/1998,00:00,22.75,23.54,22.53,23.44,61374202.0
09/14/1998,00:00,23.59,24.09,23.59,23.83,47859785.0
09/15/1998,00:00,23.82,24.4,23.62,24.37,52433659.0
09/16/1998,00:00,24.27,24.41,23.88,24.33,45132388.0
09/17/1998,00:00,23.69,23.96,23.58,23.61,45652863.0
09/18/1998,00:00,23.79,23.9,23.47,23.69,43917584.0
09/21/1998,00:00,23.06,24.31,23.05,24.27,48094930.0
09/22/1998,00:00,24.4,24.68,24.02,24.56,27027802.0
09/23/1998,00:00,24.68,25.56,24.41,25.53,67846898.0
09/24/1998,00:00,25.45,25.79,24.52,24.78,65992952.0
09/25/1998,00:00,24.55,25.45,24.44,25.44,49690682.0
09/28/1998,00:00,25.42,25.73,24.69,25.04,44193162.0
09/29/1998,00:00,25.16,25.65,25.08,25.39,51302390.0
09/30/1998,00:00,25.25,25.55,24.75,24.78,39669120.0
10/01/1998,00:00,24.31,24.63,23.4,23.43,66998378.0
10/02/1998,00:00,23.26,23.66,22.72,23.45,71033479.0
10/05/1998,00:00,23.06,23.14,21.71,22.76,123984778.0
10/06/1998,00:00,23.06,23.31,21.91,21.96,80255427.0
10/07/1998,00:00,21.91,22.44,21.01,21.19,94791688.0
10/08/1998,00:00,20.37,20.67,19.74,20.51,143913616.0
10/09/1998,00:00,20.96,21.82,20.75,21.79,73605353.0
10/12/1998,00:00,22.33,22.72,22.24,22.44,52923453.0
10/13/1998,00:00,22.39,22.44,21.54,21.71,50693909.0
10/14/1998,00:00,21.57,22.81,21.57,22.53,65674693.0
10/15/1998,00:00,22.53,23.76,22.41,23.71,65787146.0
10/16/1998,00:00,23.88,23.96,23.4,23.64,64137617.0
10/19/1998,00:00,23.43,23.44,22.75,23.16,63264174.0
10/20/1998,00:00,23.23,23.26,22.41,22.57,96249645.0
