,Date,Time,Open,High,Low,Close,Volume
0,01/02/1998,10:00,14.69,14.71,14.68,14.69,692520.0
1,01/02/1998,11:00,14.79,14.79,14.74,14.79,641847.0
2,01/02/1998,12:00,14.71,14.72,14.69,14.69,664072.0
14,01/02/1998,13:00,14.71,14.72,14.71,14.71,214243.0
26,01/02/1998,14:00,14.66,14.67,14.65,14.67,448046.0
38,01/02/1998,15:00,14.6,14.65,14.59,14.64,376040.0
50,01/02/1998,16:00,14.66,14.75,14.64,14.75,1430380.0
56,01/05/1998,10:00,14.73,14.78,14.71,14.78,781418.0
68,01/05/1998,11:00,14.97,15.0,14.96,14.99,796532.0
80,01/05/1998,12:00,15.01,15.01,14.99,14.99,1120120.0
92,01/05/1998,13:00,14.96,14.96,14.95,14.95,527166.0
104,01/05/1998,14:00,14.79,14.81,14.77,14.77,494275.0
116,01/05/1998,15:00,14.77,14.78,14.72,14.75,949436.0
128,01/05/1998,16:00,14.61,14.68,14.6,14.66,1771750.0
134,01/06/1998,10:00,14.79,14.84,14.79,14.81,1673960.0
146,01/06/1998,11:00,14.71,14.78,14.7,14.74,848091.0
158,01/06/1998,12:00,14.61,14.62,14.54,14.55,1154790.0
170,01/06/1998,13:00,14.64,14.65,14.62,14.65,668516.0
182,01/06/1998,14:00,14.81,14.85,14.8,14.82,1372590.0
194,01/06/1998,15:00,14.81,14.81,14.78,14.81,895209.0
206,01/06/1998,16:00,14.79,14.81,14.72,14.72,1252580.0
212,01/07/1998,10:00,14.67,14.68,14.6,14.62,1018780.0
224,01/07/1998,11:00,14.51,14.52,14.45,14.46,602732.0
236,01/07/1998,12:00,14.52,14.52,14.51,14.51,260471.0
248,01/07/1998,13:00,14.42,14.44,14.41,14.43,312032.0
260,01/07/1998,14:00,14.46,14.47,14.44,14.45,344035.0
272,01/07/1998,15:00,14.52,14.57,14.52,14.57,871206.0
284,01/07/1998,16:00,14.57,14.6,14.55,14.6,1610840.0
290,01/08/1998,10:00,14.43,14.47,14.41,14.44,1293480.0
302,01/08/1998,11:00,14.72,14.78,14.72,14.73,2613620.0
314,01/08/1998,12:00,14.71,14.76,14.7,14.76,572504.0
326,01/08/1998,13:00,14.71,14.72,14.7,14.71,304919.0
338,01/08/1998,14:00,14.72,14.74,14.71,14.72,418710.0
350,01/08/1998,15:00,14.7,14.75,14.69,14.72,1134340.0
362,01/08/1998,16:00,14.62,14.68,14.62,14.68,1267700.0
368,01/09/1998,10:00,14.62,14.68,14.6,14.65,2208240.0
380,01/09/1998,11:00,14.5,14.54,14.48,14.54,948548.0
392,01/09/1998,12:00,14.45,14.47,14.44,14.44,875651.0
404,01/09/1998,13:00,14.51,14.57,14.46,14.53,1093450.0
416,01/09/1998,14:00,14.47,14.48,14.4,14.41,1044560.0
428,01/09/1998,15:00,14.55,14.58,14.53,14.57,1689070.0
440,01/09/1998,16:00,14.29,14.31,14.26,14.29,2279360.0
446,01/12/1998,10:00,14.26,14.4,14.22,14.34,2636740.0
458,01/12/1998,11:00,14.41,14.48,14.4,14.48,940547.0
470,01/12/1998,12:00,14.55,14.57,14.52,14.54,1272140.0
482,01/12/1998,13:00,14.57,14.62,14.57,14.61,557393.0
494,01/12/1998,14:00,14.57,14.59,14.57,14.59,89784.0
506,01/12/1998,15:00,14.41,14.43,14.39,14.41,915655.0
518,01/12/1998,16:00,14.54,14.58,14.53,14.57,1284580.0
524,01/13/1998,10:00,14.55,14.62,14.52,14.61,3084780.0
536,01/13/1998,11:00,14.71,14.72,14.69,14.71,365371.0
548,01/13/1998,12:00,14.72,14.75,14.69,14.74,1011660.0
560,01/13/1998,13:00,14.71,14.73,14.71,14.71,226690.0
572,01/13/1998,14:00,14.75,14.75,14.74,14.74,205353.0
584,01/13/1998,15:00,14.76,14.77,14.74,14.75,696076.0
596,01/13/1998,16:00,14.83,14.88,14.82,14.86,1090780.0
602,01/14/1998,10:00,14.83,14.83,14.69,14.69,1924660.0
614,01/14/1998,11:00,14.58,14.6,14.54,14.58,1503280.0
626,01/14/1998,12:00,14.58,14.6,14.58,14.59,80005.0
638,01/14/1998,13:00,14.61,14.62,14.57,14.62,829422.0
650,01/14/1998,14:00,14.62,14.64,14.61,14.64,404487.0
662,01/14/1998,15:00,14.76,14.76,14.74,14.74,488053.0
674,01/14/1998,16:00,14.76,14.76,14.74,14.74,719189.0
680,01/15/1998,10:00,14.65,14.68,14.63,14.66,778750.0
692,01/15/1998,11:00,14.89,14.9,14.86,14.87,684519.0
704,01/15/1998,12:00,14.88,14.88,14.84,14.86,496053.0
716,01/15/1998,13:00,14.81,14.82,14.81,14.81,82672.0
728,01/15/1998,14:00,14.83,14.86,14.83,14.84,367148.0
740,01/15/1998,15:00,14.89,14.93,14.88,14.9,567171.0
752,01/15/1998,16:00,14.9,14.9,14.86,14.88,1082780.0
758,01/16/1998,10:00,14.99,15.01,14.96,14.99,1192130.0
770,01/16/1998,11:00,15.08,15.11,15.08,15.09,734301.0
782,01/16/1998,12:00,15.16,15.17,15.16,15.17,410709.0
794,01/16/1998,13:00,15.17,15.19,15.17,15.19,1065000.0
806,01/16/1998,14:00,15.17,15.18,15.17,15.18,293363.0
818,01/16/1998,15:00,15.19,15.2,15.17,15.19,1122790.0
830,01/16/1998,16:00,15.19,15.21,15.19,15.21,2457160.0
836,01/20/1998,10:00,15.12,15.14,15.12,15.12,1777080.0
848,01/20/1998,11:00,15.31,15.33,15.24,15.31,1638400.0
860,01/20/1998,12:00,15.41,15.43,15.41,15.41,762750.0
872,01/20/1998,13:00,15.42,15.43,15.41,15.42,729856.0
884,01/20/1998,14:00,15.39,15.41,15.39,15.4,192908.0
896,01/20/1998,15:00,15.46,15.47,15.44,15.45,312032.0
908,01/20/1998,16:00,15.49,15.52,15.48,15.51,1356600.0
914,01/21/1998,10:00,15.31,15.38,15.28,15.37,2253580.0
926,01/21/1998,11:00,15.46,15.5,15.46,15.47,590286.0
938,01/21/1998,12:00,15.38,15.41,15.37,15.38,503165.0
950,01/21/1998,13:00,15.35,15.37,15.35,15.37,280028.0
962,01/21/1998,14:00,15.32,15.34,15.32,15.34,420488.0
974,01/21/1998,15:00,15.28,15.33,15.27,15.33,1188570.0
986,01/21/1998,16:00,15.42,15.44,15.4,15.41,4112460.0
992,01/22/1998,10:00,15.49,15.53,15.44,15.52,6598960.0
1004,01/22/1998,11:00,15.5,15.5,15.42,15.45,2065120.0
1016,01/22/1998,12:00,15.58,15.59,15.52,15.55,2134460.0
1028,01/22/1998,13:00,15.57,15.59,15.55,15.58,1417040.0
1040,01/22/1998,14:00,15.71,15.73,15.7,15.73,1574400.0
1052,01/22/1998,15:00,15.6,15.63,15.57,15.63,1981550.0
1064,01/22/1998,16:00,15.59,15.61,15.58,15.59,1291700.0
1070,01/23/1998,10:00,15.61,15.66,15.61,15.66,1007220.0
1082,01/23/1998,11:00,15.54,15.57,15.54,15.55,820534.0
1094,01/23/1998,12:00,15.54,15.54,15.52,15.53,361815.0
1106,01/23/1998,13:00,15.5,15.51,15.48,15.49,220466.0
1118,01/23/1998,14:00,15.51,15.54,15.51,15.52,155570.0
1130,01/23/1998,15:00,15.62,15.65,15.59,15.64,647180.0
1142,01/23/1998,16:00,15.56,15.59,15.54,15.54,1168130.0
1148,01/26/1998,10:00,15.72,15.75,15.68,15.68,808977.0
1160,01/26/1998,11:00,15.75,15.75,15.73,15.75,424045.0
1172,01/26/1998,12:00,15.7,15.7,15.68,15.69,522723.0
1184,01/26/1998,13:00,15.7,15.71,15.68,15.71,381373.0
1196,01/26/1998,14:00,15.72,15.73,15.71,15.72,515611.0
1208,01/26/1998,15:00,15.71,15.73,15.69,15.71,509388.0
1220,01/26/1998,16:00,15.9,15.96,15.87,15.91,2242910.0
1226,01/27/1998,10:00,16.06,16.07,15.97,16.02,2226020.0
1238,01/27/1998,11:00,16.04,16.06,16.03,16.04,1005440.0
1250,01/27/1998,12:00,16.16,16.16,16.13,16.13,509388.0
