Date,Time,Open,High,Low,Close
01/09/1998,00:00,14.58,15.03,14.16,14.68
01/16/1998,00:00,14.63,15.23,13.99,14.88
01/23/1998,00:00,15.02,15.73,14.89,15.59
01/30/1998,00:00,15.61,16.89,15.42,16.67
02/06/1998,00:00,16.72,17.94,16.61,17.48
02/13/1998,00:00,17.48,18.01,17.44,17.86
02/20/1998,00:00,17.84,17.91,17.2,17.42
02/27/1998,00:00,17.49,19.35,17.2,19.24
03/06/1998,00:00,19.25,19.35,17.74,18.01
03/13/1998,00:00,18.07,18.67,17.89,18.43
03/20/1998,00:00,18.55,18.67,17.93,18.45
03/27/1998,00:00,18.48,20.46,18.11,19.9
04/03/1998,00:00,20.11,20.92,19.6,20.53
04/13/1998,00:00,20.7,20.92,19.49,20.02
04/20/1998,00:00,19.98,21.37,19.52,20.73
04/27/1998,00:00,20.78,22.3,19.91,20.73
05/04/1998,00:00,20.14,20.87,19.77,20.18
05/11/1998,00:00,20.06,20.22,18.42,19.29
05/18/1998,00:00,19.38,20.47,18.67,20.11
05/26/1998,00:00,19.01,19.66,18.79,19.26
06/02/1998,00:00,19.19,19.46,18.64,18.84
06/09/1998,00:00,18.91,19.7,18.81,19.28
06/16/1998,00:00,19.19,20.23,18.9,19.33
06/23/1998,00:00,19.42,22.69,19.24,21.57
06/30/1998,00:00,21.54,24.42,21.43,24.17
07/07/1998,00:00,23.68,24.78,23.54,24.23
07/14/1998,00:00,24.26,26.72,23.96,26.48
07/21/1998,00:00,26.63,26.91,25.31,26.32
07/28/1998,00:00,26.29,26.77,24.9,26.27
08/04/1998,00:00,26.1,26.29,23.44,24.38
08/11/1998,00:00,24.44,24.66,22.83,23.51
08/18/1998,00:00,23.14,25.16,22.95,24.16
08/25/1998,00:00,24.27,25.58,24.16,24.84
09/01/1998,00:00,25.06,25.59,21.26,21.58
09/08/1998,00:00,21.43,23.45,21.26,21.74
09/15/1998,00:00,22.5,24.4,22.2,23.83
09/22/1998,00:00,23.82,24.68,23.05,24.27
09/29/1998,00:00,24.4,25.79,24.02,25.04
